company_name,contact_name,position,email,industry,country,market_tier,language,currency,buyer_type,contract_volume,pain_point,lead_score
"Al Tamimi & Company","Essam Al Tamimi","Senior Partner",dubai.corporate@tamimi.com,"Corporate Law","UAE","Tier 1 - GCC",English,AED,"Law Firm","200+","Contract Review Automation for UAE Legal Teams",98
"Hadef & Partners","Dr. Faraj Ahnish","Managing Partner",contact@hadefpartners.com,"Corporate Law","UAE","Tier 1 - GCC",English,AED,"Law Firm","120+","Fast-tracking M&A due diligence and uncapped liability screening",95
"Afridi & Angell","Bashir Ahmed","Managing Partner",dubai@afridi-angell.com,"Corporate Law","UAE","Tier 1 - GCC",English,AED,"Law Firm","100+","Maritime and cross-border commercial trade dispute prevention",92
"Galadari Advocates","Ziad Galadari","Senior Partner",info@galadarilaw.com,"Corporate Law","UAE","Tier 1 - GCC",English,AED,"Law Firm","90+","Real estate developer indemnities and liquidated damages mitigation",90
"BSA Ahmad Bin Hezeem","Dr. Ahmad Bin Hezeem","Senior Partner",commercial@bsabh.com,"Corporate Law","UAE","Tier 1 - GCC",English,AED,"Law Firm","85+","DIFC Court and ADGM commercial arbitration clause alignment",90
"Emaar Properties","Corporate Legal Directorate","Chief Legal Officer",contracts@emaar.ae,"Real Estate","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","250+","FIDIC contractor delay penalties and buyer escrow dispute management",99
"Aldar Properties","General Counsel Office","Director of Legal Affairs",legal.tenders@aldar.com,"Real Estate","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","180+","Mega-development construction tenders and contractor default covenants",95
"DAMAC Properties","Executive Legal Office","Head of Commercial Legal",commercial.legal@damacgroup.com,"Real Estate","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","190+","International supplier contracts and luxury hospitality construction MSAs",94
"Sobha Realty Legal","Group General Counsel","Chief Legal Officer",legal@sobharealty.com,"Real Estate","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","140+","Procurement supply chain warranties and backward integration agreements",92
"Majid Al Futtaim Properties","Corporate Legal VP","General Counsel",properties.legal@maf.ae,"Real Estate & Retail","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","160+","Commercial tenant leases, turnover rent covenants, and retail anchor agreements",94
"Careem Technologies","Regional Legal Counsel","Head of Commercial Legal",legal@careem.com,"Tech & Mobility","UAE","Tier 1 - GCC",English,AED,"Founder","120+","Super-app vendor MSAs, cloud infrastructure SLAs, and user privacy",95
"Property Finder","Legal Affairs Directorate","General Counsel",legal@propertyfinder.ae,"PropTech","UAE","Tier 1 - GCC",English,AED,"Founder","110+","Real estate broker subscription agreements and digital listing IP protection",92
"Bayut & Dubizzle","Head of Legal & Compliance","VP Legal",legal@bayut.com,"Digital Marketplace","UAE","Tier 1 - GCC",English,AED,"Founder","130+","Enterprise advertising agreements and consumer data protection compliance",92
"Kitopi Cloud Kitchens","Commercial Legal VP","Chief Legal Officer",legal.contracts@kitopi.com,"FoodTech Unicorn","UAE","Tier 1 - GCC",English,AED,"Founder","150+","Restaurant franchise agreements, food supply chain SLAs, and lease covenants",94
"Tabby UAE Legal","Fintech Legal Counsel","Head of Legal & Regulatory",legal@tabby.ai,"FinTech BNPL","UAE","Tier 1 - GCC",English,AED,"Founder","140+","Merchant partner onboarding agreements and payment network chargeback indemnity",96
"Mubadala Investment Company","Investment Legal Counsel","Head of M&A Legal",investments.legal@mubadala.ae,"Sovereign Wealth","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","250+","Cross-border sovereign fund co-investment and shareholder covenants",99
"ADQ (Abu Dhabi Developmental)","General Counsel Office","Chief Legal Officer",legal@adq.ae,"Sovereign Wealth","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","220+","Strategic state enterprise governance, M&A warranty disclosure mitigation",98
"Dubai Holding","Group Legal Directorate","Chief Legal Officer",legal.affairs@dubaiholding.com,"Conglomerate","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","240+","Multi-sector asset portfolio contracts and master concession auditing",98
"Shuaa Capital Legal","Head of Legal & Compliance","General Counsel",legal@shuaa.com,"Asset Management","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","100+","Private equity debt facility agreements and regulatory DFSA compliance",92
"Investcorp UAE","Executive Legal Office","General Counsel EMEA",legal.uae@investcorp.com,"Private Equity","UAE","Tier 1 - GCC",English,AED,"Corporate Legal","130+","Alternative asset buyout purchase agreements and representations auditing",95
